date,open,high,low,close,volume,amount,outstanding_share,turnover
2020-09-15,230.0,231.4,228.0,230.33,12036547.0,2765306526.0,3795811143.0,0.003171007868027643
2020-09-16,230.74,232.19,225.0,226.02,18453747.0,4206118388.0,3795811143.0,0.004861608311053952
2020-09-17,222.06,226.0,218.9,222.65,22801632.0,5066620920.0,3795811143.0,0.006007051231210319
2020-09-18,222.65,229.52,220.82,229.52,19015650.0,4291299128.0,3795811143.0,0.005009640702242914
2020-09-21,228.0,229.55,224.47,224.9,13028469.0,2942680885.0,3795811143.0,0.0034323280345562755
2020-09-22,222.46,226.77,222.0,222.9,12091370.0,2711926528.0,3795811143.0,0.0031854508942833356
2020-09-23,216.6,221.49,212.46,219.32,25179488.0,5469429699.0,3795811143.0,0.006633493356600329
2020-09-24,218.08,221.37,215.88,216.3,16365237.0,3569684236.0,3795811143.0,0.00431139389802882
2020-09-25,217.01,219.44,216.37,217.2,11251653.0,2449369665.0,3795811143.0,0.0029642288765471384
2020-09-28,218.34,222.85,218.0,220.13,15264425.0,3363291339.0,3795811143.0,0.004021386845905047
2020-09-29,222.0,222.8,218.77,219.73,9972097.0,2199769865.0,3795811143.0,0.002627132021146501
2020-09-30,221.0,225.0,220.1,221.0,16234185.0,3608733492.0,3795811143.0,0.004276868471166717
2020-10-09,225.0,229.55,223.29,227.57,20893388.0,4736861701.0,3795811143.0,0.005504327589777562
2020-10-12,229.0,242.01,229.0,241.75,32455704.0,7713734278.0,3795811143.0,0.008550400106141423
2020-10-13,241.75,244.6,238.84,242.27,17191051.0,4169972230.0,3795811143.0,0.004528953194023542
2020-10-14,241.79,244.33,238.18,239.4,18319372.0,4414453298.0,3795811143.0,0.004826207445484597
2020-10-15,239.51,240.5,238.34,238.91,11176087.0,2673550250.0,3795811143.0,0.0029443211421648964
2020-10-16,238.9,240.82,235.24,236.88,11835750.0,2812810616.0,3795811143.0,0.0031181082393487245
2020-10-19,240.0,241.6,234.6,236.18,12290083.0,2920521351.0,3795811143.0,0.0032378014967010703
2020-10-20,236.0,241.0,235.0,240.98,17996331.0,4313854389.0,3795811143.0,0.004741102842586813
2020-10-21,240.98,243.7,239.69,241.77,13707691.0,3309649772.0,3795811143.0,0.0036112679170771907
2020-10-22,242.0,242.99,236.68,241.74,15041607.0,3620503900.0,3795811143.0,0.003962685822169736
2020-10-23,240.79,242.24,236.3,236.63,13452273.0,3217550682.0,3795811143.0,0.003543978478699566
2020-10-26,230.0,234.59,223.0,232.61,16000039.0,3696971910.0,3795811143.0,0.004215183105067353
2020-10-27,233.01,235.35,230.7,233.5,14302682.0,3339001552.0,3795811143.0,0.0037680172856798004
2020-10-28,235.0,242.0,233.42,239.98,17076230.0,4079939456.0,3795811143.0,0.004498703796549764
2020-10-29,238.8,253.77,238.49,250.0,34962748.0,8707106516.0,3795811143.0,0.009210876590758773
2020-10-30,246.95,250.0,243.27,244.35,23948951.0,5883433066.0,3795811143.0,0.006309310473511089
2020-11-02,247.07,251.05,244.5,245.7,15733705.0,3880439538.0,3795811143.0,0.004145017865026063
2020-11-03,248.1,250.4,245.5,250.4,16535083.0,4112229156.0,3795811143.0,0.004356139538315276
2020-11-04,250.25,253.0,248.3,253.0,12992837.0,3267104849.0,3795811143.0,0.0034229408446625658
2020-11-05,255.99,259.85,254.05,259.41,18968980.0,4898017532.0,3795811143.0,0.004997345569992706
2020-11-06,260.05,261.2,255.05,259.3,15116483.0,3901814024.0,3795811143.0,0.0039824117772236595
2020-11-09,261.0,270.0,260.6,270.0,20628388.0,5513207008.0,3795811143.0,0.0054345137897710205
2020-11-10,270.74,278.65,267.25,272.8,22308070.0,6085547698.0,3795811143.0,0.005877023160422289
2020-11-11,270.7,279.0,268.35,268.9,22787338.0,6218718171.0,3795811143.0,0.006003285501182797
2020-11-12,268.9,271.49,265.0,267.65,17623158.0,4716978361.0,3795811143.0,0.004642791049417603
2020-11-13,265.0,267.37,258.0,265.0,18843071.0,4950551088.0,3795811143.0,0.004964175057747334
2020-11-16,268.0,273.15,263.51,273.0,19577792.0,5269426372.0,3795811143.0,0.005157736057576034
2020-11-17,272.99,274.55,266.0,269.1,17947672.0,4847011187.0,3795811143.0,0.0047282837116641024
2020-11-18,267.99,269.52,259.0,263.72,19456273.0,5134604862.0,3795811143.0,0.0051257220833760535
2020-11-19,262.34,266.3,260.0,264.7,12448246.0,3287372159.0,3795811143.0,0.0032794692704762947
2020-11-20,266.54,270.5,264.8,268.47,11122604.0,2984187158.0,3795811143.0,0.002930231136633765
2020-11-23,271.5,277.77,271.5,272.58,15634214.0,4282239109.0,3795811143.0,0.004118807130020588
2020-11-24,272.58,272.6,267.0,271.79,12503527.0,3370155284.0,3795811143.0,0.003294032956054263
2020-11-25,271.8,272.39,262.81,262.97,16559440.0,4404834698.0,3795811143.0,0.004362556348604934
2020-11-26,262.17,265.18,252.7,260.58,19905229.0,5158676273.0,3795811143.0,0.005243998779209022
2020-11-27,260.58,262.31,258.1,262.3,11259290.0,2933632286.0,3795811143.0,0.0029662408312288364
2020-11-30,260.65,261.99,253.65,254.0,21174104.0,5419775806.0,3795811143.0,0.005578281743296942
2020-12-01,255.0,258.88,255.0,257.99,13648057.0,3509920228.0,3795811143.0,0.0035955574410410016
